,ratio001,ratio002,ratio003,ratio004,ratio005,ratio006,ratio008,ratio011,ratio012,ratio017,ratio018,ratio019,ratio027,ratio029,ratio030,DIO,DPO,DSO,turnover,nace,ratio036,ratio037,ratio039,ratio040,status
9114,-1.368040446,3.977708912,-0.460259376,-0.10337848,-0.452980642,-0.256353523,-0.250356963,0.095137099,0.29279402,-0.17122851,-0.260496005,0.720031341,-0.302382329,-0.087533284,-0.111107926,0.048654169,0.044215207,-0.20764222,-0.287835403,2599,0,0,1,0,0
9115,0.14313057,-1.040259533,-0.385709251,0.07418037,0.458555405,4.06447545,-0.211762413,0.36279732,-3.405226646,-0.339631939,-0.323715038,-0.058794771,-0.269615656,0.163098226,0.117042309,-0.317153963,0.57293862,0.408670114,-0.28794837,4110,0,0,1,0,0
9116,-0.289601559,-0.264540226,0.074016523,-0.245425559,-0.05761561,-0.26951274,-0.139840558,0.416329364,0.283263039,1.923289139,1.636074994,-0.275135358,-0.161683226,-0.045761366,-0.073082887,-0.297900904,-0.203961089,-0.79635848,-0.28794837,5510,0,0,1,0,0
9117,-0.369290987,-0.299334761,-1.05666038,1.192801119,1.842333019,-0.260630268,-0.256294586,-0.118991078,0.092643417,-0.486984939,-0.492299127,1.260882808,0.223448664,0.330185899,0.307167504,-0.320362806,-0.268702732,0.436266188,-0.28794837,3700,0,0,1,1,0
9118,0.27563741,0.607808477,-0.410559293,0.020912715,0.392661233,-0.121800527,-0.225361485,0.095137099,0.178422247,0.281355706,0.308475294,0.049375522,-0.276284251,-0.129305202,-0.149132965,-0.320362806,-0.322654101,0.27068974,-0.28794837,5229,0,0,1,0,0
9119,0.288610108,0.597867181,-0.410559293,-0.449618235,-0.189403954,-0.28497482,-0.188394993,0.255733232,0.197484209,2.51270114,2.531677965,-0.166965065,-0.179136831,-0.087533284,-0.111107926,-0.320362806,-0.408976291,-0.318026519,-0.28794837,8622,0,0,1,0,0
9120,-0.138562293,0.090861097,-0.273884063,-0.280937329,-0.05761561,-0.264578034,-0.234650992,0.36279732,0.245139114,-0.297531082,-0.302642027,0.179179874,-0.287233917,0.163098226,0.155067348,-0.259394784,0.357133146,0.381074039,-0.288061338,4120,0,0,1,0,0
9121,-0.70936099,-0.309276057,-0.683909752,-0.458496178,-0.936204571,-0.313267137,-0.238290181,-0.065459033,0.092643417,0.228729634,0.055599161,0.265716109,-0.263935002,-0.171077121,-0.187158004,0.205887488,-0.732684503,-0.79635848,-0.288061338,4120,0,0,1,0,0
9122,-0.347978698,-0.294364113,0.831942798,0.802171651,1.172408936,-0.23891756,-0.24643047,-0.118991078,0.102174398,-0.108077224,-0.091911916,0.373886402,0.271034434,-0.171077121,-0.187158004,-0.272230157,-0.009736162,-0.400814743,-0.288061338,4321,0,0,1,1,0
9123,-0.272922376,-0.309276057,-0.012958624,4.73829622,0.996691143,0.070653025,-0.102586761,0.309265276,0.359510888,1.965389996,1.994316182,-0.296769417,-0.155343945,-0.129305202,-0.149132965,-0.179173703,-0.732684503,-0.630782032,-0.288061338,4711,0,0,1,0,0
9124,-0.222421517,-0.239686986,-0.162058875,0.935340788,-0.848345675,-0.138249548,-0.246909311,-0.011926989,0.140298322,-0.444884082,-0.408007083,0.546958871,-0.297360301,-0.129305202,-0.149132965,-0.320362806,0.357133146,-0.492801659,-0.288061338,161,0,0,1,0,0
9125,0.274247478,-0.309276057,-0.410559293,-0.511763833,-0.266280488,-0.286290742,3.449548399,0.202201188,0.921838772,-0.076501581,-0.039229389,-0.40493971,-0.822614995,-0.045761366,-0.073082887,-0.320362806,-0.732684503,-0.20764222,-0.288061338,6311,0,0,1,0,0
9126,-0.369754298,-0.294364113,4.616107164,1.219434947,-0.881292761,-0.173450454,-0.208793601,-0.011926989,0.12123636,-1.286901227,-1.272000538,-0.08042883,-0.243682235,2.54409757,-2.924960821,5.00785725,0.119747123,-0.759563714,-0.288061338,6820,0,0,1,0,0
9127,0.358106702,3.977708912,-0.422984314,-0.245425559,0.008278562,-0.277737251,-0.233693311,0.255733232,0.616847377,-0.550136225,-0.523908644,0.179179874,-0.214867322,-3.076731758,0.877543091,-0.301109747,0.227649861,0.289087124,-0.288174306,9601,0,0,1,0,0
9128,-0.234467594,-0.309276057,-0.124783812,0.331640701,0.711149731,-0.257998425,-0.134286008,0.469861409,0.37857285,-0.09755201,-0.091911916,-0.275135358,-0.180948054,0.204870144,0.155067348,-0.301109747,-0.732684503,-0.79635848,-0.288174306,4649,0,0,1,0,0
