Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
TRQ,Turquoise Hill Resources Ltd. Ordinary Shares,$16.94,-0.21,-1.224%,3408860695.00,Canada,,983192,Basic Industries,Precious Metals
TS,Tenaris S.A. American Depositary Shares,$22.10,0.08,0.363%,13044931972.00,Luxembourg,,2605696,Basic Industries,Steel/Iron Ore
TSE,Trinseo S.A. Ordinary Shares,$69.50,-2.61,-3.619%,2671582989.00,,2014,1201041,Basic Industries,Major Chemicals
TX,Ternium S.A. Ternium S.A. American Depositary Shares (each representing ten shares USD1.00 par value),$37.12,0.85,2.344%,7286940970.00,Luxembourg,,1193182,Basic Industries,Steel/Iron Ore
UFS,Domtar Corporation (NEW) Common Stock,$36.66,-0.39,-1.053%,2018738037.00,Canada,,1138426,Basic Industries,Paper
UL,Unilever PLC Common Stock,$55.19,-0.73,-1.305%,145031682642.00,United Kingdom,,2567737,Basic Industries,Package Goods/Cosmetics
VALE,VALE S.A.  American Depositary Shares Each Representing one common share,$17.25,-0.03,-0.174%,88490963957.00,Brazil,,29941536,Basic Industries,Precious Metals
VEDL,Vedanta Limited  American Depositary Shares (Each representing four equity shares),$12.14,0.12,0.998%,11281691790.00,,2013,1609078,Basic Industries,Precious Metals
VMC,Vulcan Materials Company (Holding Company) Common Stock,$165.27,-2.78,-1.654%,21906057895.00,United States,,1177057,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VVV,Valvoline Inc. Common Stock,$26.13,-0.32,-1.21%,4740537001.00,United States,2016,2729774,Basic Industries,Major Chemicals
WFG,West Fraser Timber Co. Ltd Common stock,$65.57,0.40,0.614%,8075839547.00,,2021,146334,Basic Industries,Forest Products
WLK,Westlake Chemical Corporation Common Stock,$91.84,-1.03,-1.109%,11740285489.00,United States,2004,779175,Basic Industries,Major Chemicals
WPM,Wheaton Precious Metals Corp Common Shares (Canada),$39.23,-0.18,-0.457%,17632566637.00,Canada,,4249942,Basic Industries,Precious Metals
WST,West Pharmaceutical Services Inc. Common Stock,$277.15,8.20,3.049%,20537653656.00,United States,,831418,Basic Industries,Specialty Chemicals
X,United States Steel Corporation Common Stock,$22.41,-0.24,-1.06%,6023412307.00,United States,,20066908,Basic Industries,Steel/Iron Ore
