Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
JPM,JP Morgan Chase & Co. Common Stock,$155.14,-2.51,-1.592%,473410708481.00,United States,,52529188,Finance,Major Banks
KB,KB Financial Group Inc,$43.85,-0.83,-1.858%,17304715590.00,South Korea,,151442,Finance,Commercial Banks
KEY,KeyCorp Common Stock,$20.39,-0.33,-1.593%,19754140949.00,United States,,34832796,Finance,Major Banks
KKR,KKR & Co. Inc. Common Stock,$48.20,0.39,0.816%,27792658587.00,United States,,3308269,Finance,Investment Managers
KMPR,Kemper Corporation,$81.45,-0.61,-0.743%,5331284093.00,United States,,609876,Finance,Property-Casualty Insurers
KW,Kennedy-Wilson Holdings Inc. Common Stock,$20.91,0.16,0.771%,2950074532.00,United States,,1584322,Finance,Real Estate
L,Loews Corporation Common Stock,$52.40,-0.46,-0.87%,13993239639.00,United States,,3396327,Finance,Property-Casualty Insurers
LAZ,Lazard LTD. Lazard LTD. Class A Common Stock,$43.16,-0.96,-2.176%,4632946021.00,Bermuda,2005,2129498,Finance,Investment Managers
LC,LendingClub Corporation Common Stock,$21.72,1.98,10.03%,2031910757.00,United States,2014,5697139,Finance,Finance: Consumer Services
LDI,loanDepot Inc. Class A Common Stock,$21.65,1.28,6.284%,2755792583.00,,2021,419335,Finance,Finance: Consumer Services
LFC,China Life Insurance Company Limited American Depositary Shares,$10.59,0.05,0.474%,59864655780.00,China,2003,926200,Finance,Life Insurance
LMND,Lemonade Inc. Common Stock,$99.70,3.45,3.584%,6109799548.00,United States,2020,3738601,Finance,Property-Casualty Insurers
LNC,Lincoln National Corporation Common Stock,$63.74,-0.72,-1.117%,12235420831.00,United States,,2522098,Finance,Life Insurance
LU,Lufax Holding Ltd American Depositary Shares two of which representing one Ordinary Share,$14.97,0.21,1.423%,36860647766.00,China,2020,2868043,Finance,Finance: Consumer Services
LYG,Lloyds Banking Group Plc American Depositary Shares,$2.23,-0.02,-0.889%,39504005608.00,United Kingdom,,5579184,Finance,Commercial Banks
MAX,MediaAlpha Inc. Class A Common Stock,$48.38,1.68,3.597%,2871407621.00,,2020,4588188,Finance,Property-Casualty Insurers
MC,Moelis & Company Class A Common Stock,$56.58,-0.38,-0.667%,3283361503.00,,2014,896915,Finance,Investment Managers
MCO,Moody's Corporation Common Stock,$287.79,0.18,0.063%,53859839215.00,United States,,1804229,Finance,Finance: Consumer Services
MCY,Mercury General Corporation Common Stock,$60.57,-0.79,-1.287%,3353015344.00,United States,,1077314,Finance,Property-Casualty Insurers
MET,MetLife Inc. Common Stock,$61.29,-0.47,-0.761%,54204828316.00,United States,2000,13047801,Finance,Life Insurance
MFC,Manulife Financial Corporation Common Stock,$21.72,-0.12,-0.549%,42146762725.00,Canada,,3228291,Finance,Life Insurance
MFG,Mizuho Financial Group Inc. Sponosred ADR (Japan),$3.18,0.04,1.274%,40310726777.00,Japan,,342408,Finance,Major Banks
MKL,Markel Corporation Common Stock,$1120.44,-23.65,-2.067%,15443935438.00,United States,1986,69428,Finance,Property-Casualty Insurers
MMC,Marsh & McLennan Companies Inc. Common Stock,$116.88,-2.44,-2.045%,59396845250.00,United States,,4104262,Finance,Specialty Insurers
MS,Morgan Stanley Common Stock,$82.94,-1.00,-1.191%,155963215119.00,United States,,11556802,Finance,Investment Bankers/Brokers/Service
MTB,M&T Bank Corporation Common Stock,$152.07,-3.31,-2.13%,19561416328.00,United States,,3083927,Finance,Major Banks
MTG,MGIC Investment Corporation Common Stock,$12.99,-0.20,-1.516%,4400747861.00,United States,1991,5375383,Finance,Property-Casualty Insurers
MUFG,Mitsubishi UFJ Financial Group Inc. Common Stock,$6.01,0.06,1.008%,77196413031.00,Japan,,2085592,Finance,Commercial Banks
NMR,Nomura Holdings Inc ADR American Depositary Shares,$6.46,0.08,1.254%,19763033923.00,Japan,,395277,Finance,Investment Bankers/Brokers/Service
NNI,Nelnet Inc. Common Stock,$74.03,-0.50,-0.671%,2839156585.00,United States,2003,218102,Finance,Finance: Consumer Services
NOAH,Noah Holdings Limited,$46.94,0.60,1.295%,2893160043.00,China,2010,148878,Finance,Investment Managers
NTB,Bank of N.T. Butterfield & Son Limited (The) Voting Ordinary Shares,$40.44,-0.04,-0.099%,2022000000.00,Bermuda,2016,463673,Finance,Commercial Banks
NWG,NatWest Group plc American Depositary Shares,$5.29,0.10,1.927%,32081715231.00,United Kingdom,,1954631,Finance,Commercial Banks
NYCB,New York Community Bancorp Inc. Common Stock,$12.15,-0.19,-1.54%,5658253445.00,United States,,9669168,Finance,Banks
OMF,OneMain Holdings Inc. Common Stock,$53.34,-1.00,-1.84%,7166143763.00,,2013,1353795,Finance,Finance: Consumer Services
ORI,Old Republic International Corporation Common Stock,$21.84,-0.42,-1.887%,6643343179.00,United States,,3792592,Finance,Property-Casualty Insurers
PB,Prosperity Bancshares Inc. Common Stock,$79.23,-0.73,-0.913%,7362747952.00,United States,,1382591,Finance,Major Banks
PFSI,PennyMac Financial Services Inc. Common Stock,$62.25,-2.97,-4.554%,4310442922.00,United States,2013,2781657,Finance,Finance: Consumer Services
PGR,Progressive Corporation (The) Common Stock,$90.94,0.59,0.653%,53267898384.00,United States,,5568714,Finance,Property-Casualty Insurers
PIPR,Piper Sandler Companies Common Stock,$113.09,-0.12,-0.106%,2065347742.00,United States,,208644,Finance,Investment Bankers/Brokers/Service
PJT,PJT Partners Inc. Class A Common Stock,$69.60,-0.73,-1.038%,2918113562.00,United States,2015,368585,Finance,Investment Managers
PNC,PNC Financial Services Group Inc. (The) Common Stock,$175.79,-4.07,-2.263%,74538562289.00,United States,,6435642,Finance,Major Banks
PRI,Primerica Inc. Common Stock,$149.94,-2.78,-1.82%,5899270398.00,United States,2010,580897,Finance,Life Insurance
PRU,Prudential Financial Inc. Common Stock,$91.98,-1.13,-1.214%,36516060000.00,United States,2001,9146316,Finance,Life Insurance
PSTH,Pershing Square Tontine Holdings Ltd. Class A Common Stock,$25.60,-0.63,-2.402%,5120002560.00,,2020,4376789,Finance,Business Services
PUK,Prudential Public Limited Company Common Stock,$42.34,-0.46,-1.075%,55243492419.00,United Kingdom,,436474,Finance,Life Insurance
RDN,Radian Group Inc. Common Stock,$22.57,-0.30,-1.312%,4326417660.00,United States,,3418570,Finance,Property-Casualty Insurers
RE,Everest Re Group Ltd. Common Stock,$245.83,-6.12,-2.429%,9831150269.00,Bermuda,,450860,Finance,Property-Casualty Insurers
RF,Regions Financial Corporation Common Stock,$21.08,-0.38,-1.771%,20251008595.00,United States,,35972831,Finance,Major Banks
RGA,Reinsurance Group of America Incorporated Common Stock,$125.69,-0.59,-0.467%,8543523353.00,United States,,1122229,Finance,Life Insurance
RJF,Raymond James Financial Inc. Common Stock,$119.71,-0.63,-0.524%,16485402006.00,United States,,1474110,Finance,Investment Bankers/Brokers/Service
RKT,Rocket Companies Inc. Class A Common Stock,$23.07,-0.03,-0.13%,45781308747.00,United States,2020,12180543,Finance,Finance: Consumer Services
RLI,RLI Corp. Common Stock (DE),$112.16,-3.14,-2.723%,5063951208.00,United States,,617748,Finance,Property-Casualty Insurers
RNR,RenaissanceRe Holdings Ltd. Common Stock,$162.50,-6.89,-4.068%,8241109500.00,Bermuda,,899533,Finance,Property-Casualty Insurers
ROL,Rollins Inc. Common Stock,$33.78,0.77,2.333%,16624128531.00,United States,,7450004,Finance,Diversified Commercial Services
RY,Royal Bank Of Canada Common Stock,$93.20,-0.32,-0.342%,132796327187.00,Canada,,1279767,Finance,Commercial Banks
